Property_ID,Address,Neighborhood,Property_Type,Bedrooms,Bathrooms,Square_Feet,Monthly_Rent,Price_Per_SqFt,Estimated_Purchase_Price,Monthly_Expenses,Monthly_Cash_Flow,Annual_NOI,Cap_Rate,Market_Score,Market_Segment,Growth_Potential,Listing_Status,Days_on_Market,Year_Built,Parking_Spaces,Pet_Friendly,Amenities,Tenant_Type,Lease_Length,Utilities_Included,Distance_to_Downtown,School_Rating,Crime_Index,Walk_Score,Transit_Score
ATX-001,"4112 Pine Dr, Austin, TX 74444",West Austin,Loft,3,3.0,2392,4997,2.09,846785,1587,3409,40915,4.83,88,Premium,Low,Available,6,2017,1,Yes,"Pool, Gym, Parking",Professional,6 months,Water/Sewer,7.4,10,2.2,52,65
ATX-002,"9754 Elm Way, Austin, TX 73354",West Austin,Modern Apartment,3,2.0,1929,5015,2.6,854316,1333,3681,44174,5.17,84,Premium,Low,Available,22,2007,1,No,"Hardwood Floors, Updated Kitchen",Family,18 months,None,4.1,6,4.2,62,58
ATX-003,"8885 Oak Ave, Austin, TX 76401",South Austin,Modern Apartment,1,1.0,1135,3393,2.99,485714,947,2445,29343,6.04,97,Premium,Medium,Available,40,2013,3,No,"Pool, Gym, Parking",Professional,12 months,None,17.2,8,7.9,94,34
ATX-004,"7528 Park Blvd, Austin, TX 74633",South Austin,Modern Apartment,5,5.5,2642,3443,1.3,533001,932,2510,30121,5.65,85,Premium,Medium,Available,45,1994,3,No,"Garage, Garden, Modern Appliances",Professional,12 months,Water/Sewer,5.8,9,3.6,80,64
ATX-005,"3852 Main St, Austin, TX 75885",West Austin,Luxury Condo,3,3.5,2073,6245,3.01,974510,1602,4642,55708,5.72,89,Premium,Low,Available,57,2010,1,Dogs Only,"In-unit Laundry, Pool, Gym",Professional,18 months,All,5.3,7,3.5,75,54
ATX-006,"6643 Park Blvd, Austin, TX 75097",West Austin,Townhouse,2,1.5,2397,4730,1.97,850894,1247,3482,41784,4.91,86,Premium,Low,Available,6,1993,1,No,"Balcony, AC, Dishwasher",Professional,12 months,All,15.7,9,4.3,69,53
ATX-007,"8897 Elm Way, Austin, TX 78551",West Austin,Modern Apartment,2,1.0,1358,5072,3.73,779094,1416,3655,43861,5.63,76,Premium,Low,Available,30,1990,3,Cats Only,"Garage, Garden, Modern Appliances",Student,12 months,Water/Sewer,13.7,6,7.2,59,73
ATX-008,"2746 Main St, Austin, TX 78207",Cedar Park,Modern Apartment,4,4.0,2291,2964,1.29,453391,746,2217,26606,5.87,91,Mid-Market,High,Available,57,2009,1,Yes,"Balcony, AC, Dishwasher",Professional,18 months,None,4.0,9,6.9,88,54
ATX-009,"9107 Cedar Ln, Austin, TX 75472",Cedar Park,Modern Apartment,1,1.0,1143,2362,2.07,380534,733,1628,19538,5.13,86,Mid-Market,High,Available,60,2002,3,Cats Only,"In-unit Laundry, Pool, Gym",Family,12 months,Electric,12.1,10,4.7,55,34
ATX-010,"9738 Pine Dr, Austin, TX 78121",West Austin,Townhouse,2,2.5,1965,4090,2.08,608627,1051,3038,36461,5.99,91,Premium,Low,Available,4,2004,1,Yes,"Hardwood Floors, Updated Kitchen",Professional,12 months,None,13.8,8,6.0,53,54
ATX-011,"7849 River Rd, Austin, TX 74860",Downtown Austin,Townhouse,1,1.5,1536,4574,2.98,657617,1444,3129,37548,5.71,84,Premium,Low,Pending,28,2016,2,Yes,"Pool, Gym, Parking",Professional,12 months,None,11.3,8,6.8,46,35
ATX-012,"7450 Cedar Ln, Austin, TX 76757",Downtown Austin,Single Family,4,4.0,4748,4372,0.92,644168,1295,3076,36920,5.73,75,Premium,Low,Available,29,1996,1,Yes,"Pool, Gym, Parking",Professional,12 months,Water/Sewer,5.8,9,4.9,95,45
ATX-013,"135 River Rd, Austin, TX 75473",Cedar Park,Modern Apartment,3,3.0,1894,3309,1.75,585893,1087,2221,26663,4.55,89,Premium,High,Available,28,2021,1,No,"Hardwood Floors, Updated Kitchen",Professional,6 months,Water/Sewer,24.3,10,6.4,43,67
ATX-014,"9671 Hill St, Austin, TX 77420",Downtown Austin,Townhouse,2,1.0,1987,4462,2.25,788772,1352,3109,37314,4.73,74,Premium,Low,Available,33,1995,1,Yes,"Garage, Garden, Modern Appliances",Professional,6 months,None,17.5,7,4.4,76,35
ATX-015,"9662 Park Blvd, Austin, TX 75437",South Austin,Modern Apartment,1,1.0,1114,3333,2.99,493851,1071,2261,27132,5.49,84,Premium,Medium,Available,17,2015,1,Cats Only,"In-unit Laundry, Pool, Gym",Student,18 months,Electric,23.4,6,2.1,79,56
ATX-016,"3592 Elm Way, Austin, TX 74386",North Austin,Luxury Condo,2,2.0,1890,3794,2.01,672791,1282,2511,30135,4.48,87,Premium,High,Under Contract,24,2008,1,Dogs Only,"Garage, Garden, Modern Appliances",Student,12 months,Electric,16.1,10,2.0,92,55
ATX-017,"4433 Oak Ave, Austin, TX 74177",West Austin,Single Family,4,3.0,4336,5057,1.17,858156,1342,3714,44569,5.19,80,Premium,Low,Pending,39,2003,3,Cats Only,"Balcony, AC, Dishwasher",Professional,6 months,Electric,13.6,8,7.4,94,23
ATX-018,"822 Main St, Austin, TX 76033",East Austin,Modern Apartment,1,1.5,1041,3547,3.41,605986,1112,2434,29211,4.82,88,Premium,High,Available,11,2018,3,Dogs Only,"Garage, Garden, Modern Appliances",Young Professional,12 months,None,4.6,7,5.3,93,43
ATX-019,"785 Elm Way, Austin, TX 76288",East Austin,Luxury Condo,4,4.5,2598,3767,1.45,662838,1241,2525,30304,4.57,81,Premium,High,Available,58,2012,1,No,"Pool, Gym, Parking",Professional,12 months,Electric,19.9,9,7.8,87,29
ATX-020,"6855 Main St, Austin, TX 74770",East Austin,Modern Apartment,2,2.0,1390,3774,2.72,639551,1068,2705,32461,5.08,93,Premium,High,Pending,52,2005,2,No,"Pool, Gym, Parking",Professional,18 months,All,22.1,9,3.3,92,78
ATX-021,"3828 Pine Dr, Austin, TX 73494",West Austin,Modern Apartment,3,2.5,1856,4422,2.38,735826,1281,3140,37683,5.12,79,Premium,Low,Under Contract,56,1994,2,Cats Only,"Garage, Garden, Modern Appliances",Professional,18 months,All,17.6,10,4.0,41,27
ATX-022,"4449 Main St, Austin, TX 74189",West Austin,Modern Apartment,2,1.0,1597,4871,3.05,798175,1386,3484,41818,5.24,81,Premium,Low,Under Contract,28,2022,1,Dogs Only,"Garage, Garden, Modern Appliances",Professional,12 months,Water/Sewer,7.9,9,2.0,91,54
ATX-023,"1246 Park Blvd, Austin, TX 78405",West Austin,Luxury Condo,3,3.5,2304,5626,2.44,858283,1883,3742,44908,5.23,80,Premium,Low,Available,33,2009,3,Dogs Only,"Hardwood Floors, Updated Kitchen",Professional,6 months,All,18.0,10,2.8,66,62
ATX-024,"5030 River Rd, Austin, TX 77789",North Austin,Townhouse,3,2.0,2986,3660,1.23,634457,1026,2633,31605,4.98,86,Premium,High,Available,28,2010,2,Dogs Only,"In-unit Laundry, Pool, Gym",Professional,6 months,Water/Sewer,13.8,7,6.0,58,52
ATX-025,"5185 Pine Dr, Austin, TX 74932",West Austin,Luxury Condo,3,2.0,2184,5868,2.69,856106,1494,4373,52486,6.13,86,Premium,Low,Available,40,1994,2,Dogs Only,"Garage, Garden, Modern Appliances",Family,6 months,Water/Sewer,18.5,9,5.0,55,29
ATX-026,"3685 Cedar Ln, Austin, TX 77544",West Austin,Townhouse,1,1.0,1675,5314,3.17,842704,1624,3689,44271,5.25,74,Premium,Low,Available,30,1998,2,Cats Only,"In-unit Laundry, Pool, Gym",Professional,18 months,All,21.1,10,4.7,50,67
ATX-027,"4150 Elm Way, Austin, TX 77571",Downtown Austin,Townhouse,3,2.5,2748,4658,1.7,742410,1275,3382,40584,5.47,87,Premium,Low,Available,5,2008,1,Cats Only,"Hardwood Floors, Updated Kitchen",Professional,12 months,Electric,22.5,6,2.8,54,44
ATX-028,"6897 River Rd, Austin, TX 76011",Downtown Austin,Luxury Condo,2,2.0,1598,4231,2.65,684171,1233,2997,35968,5.26,79,Premium,Low,Under Contract,54,2016,2,Yes,"Garage, Garden, Modern Appliances",Young Professional,12 months,All,13.0,8,3.8,64,74
ATX-029,"3695 Elm Way, Austin, TX 76871",East Austin,Modern Apartment,2,1.0,1549,3971,2.56,633079,1147,2823,33886,5.35,92,Premium,High,Pending,47,2000,2,No,"Garage, Garden, Modern Appliances",Student,6 months,None,22.9,10,5.4,41,25
ATX-030,"3077 Main St, Austin, TX 75432",West Austin,Modern Apartment,1,1.0,1136,4659,4.1,722909,1263,3395,40747,5.64,81,Premium,Low,Pending,22,2014,2,Dogs Only,"Hardwood Floors, Updated Kitchen",Family,12 months,None,12.8,10,2.3,62,34
ATX-031,"4151 Pine Dr, Austin, TX 73467",Cedar Park,Single Family,5,5.0,5030,2953,0.59,486812,808,2144,25731,5.29,95,Mid-Market,High,Available,43,1997,3,No,"In-unit Laundry, Pool, Gym",Student,18 months,Electric,19.6,7,5.6,87,65
ATX-032,"1871 Main St, Austin, TX 75856",West Austin,Townhouse,2,2.0,2188,4383,2.0,714568,1493,2889,34671,4.85,83,Premium,Low,Available,26,2002,1,No,"Pool, Gym, Parking",Family,12 months,Electric,21.6,10,6.8,90,56
ATX-033,"7118 Park Blvd, Austin, TX 73865",East Austin,Townhouse,3,3.5,2958,4088,1.38,655054,1161,2926,35118,5.36,93,Premium,High,Available,53,2021,1,Dogs Only,"Hardwood Floors, Updated Kitchen",Professional,18 months,All,18.3,9,3.1,73,61
ATX-034,"7236 Elm Way, Austin, TX 75941",North Austin,Luxury Condo,4,3.5,2805,4163,1.48,724647,1386,2776,33317,4.6,82,Premium,High,Available,18,2018,1,Dogs Only,"Garage, Garden, Modern Appliances",Professional,12 months,All,9.7,9,7.1,51,51
ATX-035,"5676 Elm Way, Austin, TX 78184",Downtown Austin,Modern Apartment,3,3.5,1832,3708,2.02,623119,1029,2678,32142,5.16,73,Premium,Low,Under Contract,34,2002,1,No,"In-unit Laundry, Pool, Gym",Young Professional,18 months,All,14.8,7,6.1,81,65
ATX-036,"1624 Elm Way, Austin, TX 75116",East Austin,Townhouse,5,4.5,3762,4900,1.3,765262,1344,3555,42669,5.58,98,Premium,High,Available,24,2020,3,Cats Only,"In-unit Laundry, Pool, Gym",Student,12 months,Electric,10.1,9,3.6,56,34
ATX-037,"2058 Cedar Ln, Austin, TX 74870",West Austin,Single Family,2,2.0,2922,4722,1.62,701950,1409,3312,39754,5.66,89,Premium,Low,Available,49,2023,3,Cats Only,"Pool, Gym, Parking",Professional,12 months,Water/Sewer,8.8,8,3.1,40,65
ATX-038,"993 Elm Way, Austin, TX 74335",Cedar Park,Townhouse,3,3.5,2584,3257,1.26,539081,1059,2197,26370,4.89,83,Premium,High,Available,56,1990,3,Cats Only,"In-unit Laundry, Pool, Gym",Family,18 months,All,12.1,7,7.8,56,80
ATX-039,"6665 Hill St, Austin, TX 73907",South Austin,Modern Apartment,2,1.0,1333,3859,2.89,629328,1229,2629,31552,5.01,81,Premium,Medium,Available,10,2009,1,No,"Pool, Gym, Parking",Family,12 months,All,15.9,10,3.4,73,44
ATX-040,"9742 River Rd, Austin, TX 75802",South Austin,Single Family,4,3.5,4504,3442,0.76,560168,881,2560,30729,5.49,80,Premium,Medium,Pending,49,2003,3,No,"Hardwood Floors, Updated Kitchen",Young Professional,12 months,None,5.6,7,5.3,50,20
ATX-041,"4871 Main St, Austin, TX 75197",Downtown Austin,Townhouse,1,1.5,1710,4000,2.34,606096,1113,2886,34642,5.72,87,Premium,Low,Available,5,2004,2,No,"In-unit Laundry, Pool, Gym",Young Professional,12 months,None,14.5,7,7.5,92,29
ATX-042,"5139 Elm Way, Austin, TX 76898",South Austin,Modern Apartment,3,3.0,1784,3475,1.95,503785,1108,2366,28403,5.64,89,Premium,Medium,Available,18,2022,3,Dogs Only,"In-unit Laundry, Pool, Gym",Student,12 months,None,15.8,9,6.4,78,36
ATX-043,"9524 Main St, Austin, TX 75508",North Austin,Single Family,4,4.0,4434,3306,0.75,539042,1078,2227,26726,4.96,85,Premium,High,Available,31,2023,3,Dogs Only,"Hardwood Floors, Updated Kitchen",Family,12 months,Water/Sewer,24.9,9,5.8,71,25
ATX-044,"5560 Park Blvd, Austin, TX 78790",West Austin,Townhouse,1,1.5,1663,3671,2.21,529299,976,2694,32330,6.11,84,Premium,Low,Available,45,2021,2,Dogs Only,"Garage, Garden, Modern Appliances",Student,12 months,None,12.5,8,3.5,47,69
ATX-045,"7669 River Rd, Austin, TX 73745",West Austin,Modern Apartment,5,4.0,2777,4560,1.64,672615,1304,3255,39060,5.81,86,Premium,Low,Pending,41,2018,1,No,"Hardwood Floors, Updated Kitchen",Professional,12 months,Water/Sewer,23.3,9,7.3,71,27
ATX-046,"5191 Main St, Austin, TX 77825",Cedar Park,Single Family,3,3.0,3562,2302,0.65,359847,627,1674,20097,5.58,83,Mid-Market,High,Available,30,1997,3,No,"In-unit Laundry, Pool, Gym",Professional,12 months,Electric,13.7,8,4.5,70,50
ATX-047,"2469 River Rd, Austin, TX 74862",South Austin,Modern Apartment,1,1.5,1182,3404,2.88,602081,1024,2379,28559,4.74,81,Premium,Medium,Available,56,1994,2,Dogs Only,"Hardwood Floors, Updated Kitchen",Student,6 months,Electric,20.9,8,6.4,93,57
ATX-048,"8924 Hill St, Austin, TX 76128",East Austin,Modern Apartment,2,1.0,1528,4568,2.99,700263,1490,3077,36930,5.27,92,Premium,High,Pending,30,2010,1,No,"Garage, Garden, Modern Appliances",Professional,12 months,All,7.4,9,2.3,87,50
ATX-049,"8215 Main St, Austin, TX 74335",North Austin,Modern Apartment,2,1.5,1377,2898,2.1,463945,895,2002,24029,5.18,83,Mid-Market,High,Available,56,2018,1,Dogs Only,"Pool, Gym, Parking",Family,12 months,Water/Sewer,11.4,7,2.4,90,36
ATX-050,"5483 River Rd, Austin, TX 75895",Cedar Park,Townhouse,1,1.5,1411,3209,2.27,529715,1087,2121,25463,4.81,95,Premium,High,Available,56,1992,3,Yes,"Balcony, AC, Dishwasher",Family,12 months,Electric,24.9,6,4.6,46,68
ATX-051,"5006 Main St, Austin, TX 73677",Downtown Austin,Luxury Condo,3,3.5,2142,5637,2.63,862319,1440,4196,50353,5.84,84,Premium,Low,Under Contract,24,2017,1,No,"Garage, Garden, Modern Appliances",Young Professional,12 months,All,15.0,7,3.0,45,59
ATX-052,"9654 Cedar Ln, Austin, TX 75203",West Austin,Townhouse,2,1.0,2331,5128,2.2,812511,1412,3715,44589,5.49,79,Premium,Low,Available,43,1990,2,Cats Only,"Garage, Garden, Modern Appliances",Student,12 months,Water/Sewer,3.7,8,7.9,59,60
ATX-053,"5049 Pine Dr, Austin, TX 76452",North Austin,Townhouse,4,3.5,3499,3427,0.98,596755,893,2533,30404,5.09,92,Premium,High,Available,37,2012,3,Cats Only,"Hardwood Floors, Updated Kitchen",Professional,12 months,None,24.5,9,3.6,76,75
ATX-054,"3870 Park Blvd, Austin, TX 75095",North Austin,Modern Apartment,3,3.5,1846,3495,1.89,578299,1090,2404,28850,4.99,84,Premium,High,Available,41,1996,3,Yes,"Hardwood Floors, Updated Kitchen",Professional,6 months,All,2.8,8,6.4,45,78
ATX-055,"2977 Pine Dr, Austin, TX 74383",South Austin,Modern Apartment,2,1.5,1512,4271,2.82,732307,1442,2828,33946,4.64,88,Premium,Medium,Available,34,2022,2,No,"Hardwood Floors, Updated Kitchen",Young Professional,12 months,All,24.2,8,6.5,61,71
ATX-056,"2406 Pine Dr, Austin, TX 76556",Downtown Austin,Single Family,2,2.5,2676,3583,1.34,640249,1184,2398,28787,4.5,84,Premium,Low,Available,6,2015,1,Cats Only,"Garage, Garden, Modern Appliances",Family,6 months,None,12.5,8,5.5,92,60
ATX-057,"7824 Main St, Austin, TX 78376",Downtown Austin,Townhouse,1,1.0,1528,4316,2.82,756894,1321,2994,35936,4.75,92,Premium,Low,Pending,15,1994,3,Dogs Only,"Hardwood Floors, Updated Kitchen",Student,12 months,All,4.7,6,7.7,59,51
ATX-058,"8907 Cedar Ln, Austin, TX 76484",North Austin,Townhouse,2,2.0,2130,2810,1.32,444389,890,1919,23029,5.18,97,Mid-Market,High,Available,27,1999,2,Yes,"In-unit Laundry, Pool, Gym",Student,12 months,All,23.6,8,2.2,63,33
ATX-059,"6042 Oak Ave, Austin, TX 76310",Downtown Austin,Modern Apartment,4,3.5,2220,4542,2.05,734798,1579,2962,35548,4.84,84,Premium,Low,Under Contract,4,2015,2,No,"Pool, Gym, Parking",Student,12 months,All,4.1,7,5.9,78,21
ATX-060,"2163 Pine Dr, Austin, TX 73863",North Austin,Modern Apartment,3,3.5,1824,3257,1.79,564088,994,2262,27146,4.81,98,Premium,High,Available,14,2004,2,No,"Garage, Garden, Modern Appliances",Professional,18 months,None,8.4,7,7.9,74,36
ATX-061,"2259 Main St, Austin, TX 76235",Downtown Austin,Modern Apartment,4,4.0,2113,5198,2.46,891973,1423,3774,45297,5.08,83,Premium,Low,Under Contract,2,2001,2,Yes,"Balcony, AC, Dishwasher",Family,6 months,All,14.1,6,4.9,89,43
ATX-062,"3729 Main St, Austin, TX 78698",Downtown Austin,Modern Apartment,1,1.5,1157,3918,3.39,630241,1158,2759,33108,5.25,73,Premium,Low,Pending,4,2020,2,Dogs Only,"Pool, Gym, Parking",Professional,6 months,All,18.4,9,2.4,45,40
ATX-063,"4605 Park Blvd, Austin, TX 76421",South Austin,Modern Apartment,2,2.0,1364,3691,2.71,663586,1118,2572,30869,4.65,91,Premium,Medium,Pending,33,2017,1,Yes,"Garage, Garden, Modern Appliances",Young Professional,12 months,Water/Sewer,11.9,7,4.5,92,49
ATX-064,"5220 River Rd, Austin, TX 75861",Downtown Austin,Townhouse,2,1.5,2022,3618,1.79,602774,1039,2578,30936,5.13,77,Premium,Low,Pending,44,2020,1,Yes,"Pool, Gym, Parking",Student,12 months,None,11.9,8,6.9,75,23
ATX-065,"5893 River Rd, Austin, TX 73722",East Austin,Modern Apartment,2,1.0,1510,2966,1.96,530130,919,2046,24557,4.63,91,Mid-Market,High,Available,7,2022,1,No,"In-unit Laundry, Pool, Gym",Student,6 months,Water/Sewer,21.5,8,7.1,63,27
ATX-066,"9290 Main St, Austin, TX 78289",North Austin,Single Family,3,2.0,3838,2873,0.75,508990,956,1916,22997,4.52,88,Mid-Market,High,Available,2,2001,2,Cats Only,"Hardwood Floors, Updated Kitchen",Professional,12 months,Electric,2.1,7,5.4,65,24
ATX-067,"8791 Pine Dr, Austin, TX 76382",West Austin,Modern Apartment,4,4.0,2146,5183,2.42,812659,1472,3710,44526,5.48,82,Premium,Low,Available,20,2010,3,Yes,"Pool, Gym, Parking",Student,18 months,Water/Sewer,5.6,10,2.3,45,37
ATX-068,"7342 River Rd, Austin, TX 75538",South Austin,Modern Apartment,2,1.5,1548,3524,2.28,523746,1061,2462,29549,5.64,88,Premium,Medium,Available,28,1997,2,Dogs Only,"Garage, Garden, Modern Appliances",Young Professional,12 months,Electric,3.0,9,7.9,43,20
ATX-069,"2348 Elm Way, Austin, TX 75672",East Austin,Single Family,1,1.5,2016,3057,1.52,468102,766,2290,27484,5.87,93,Premium,High,Available,12,1998,2,No,"Garage, Garden, Modern Appliances",Professional,12 months,Electric,3.7,6,4.6,69,78
ATX-070,"7133 River Rd, Austin, TX 78545",South Austin,Luxury Condo,2,2.5,1912,4958,2.59,776957,1296,3661,43936,5.65,77,Premium,Medium,Available,21,2000,3,Dogs Only,"Hardwood Floors, Updated Kitchen",Professional,12 months,None,12.0,6,3.5,77,45
ATX-071,"5662 Pine Dr, Austin, TX 76029",East Austin,Townhouse,2,2.5,2187,4393,2.01,751926,1131,3261,39134,5.2,100,Premium,High,Available,8,2023,3,No,"Hardwood Floors, Updated Kitchen",Professional,18 months,Electric,18.7,7,3.4,49,36
ATX-072,"1334 Cedar Ln, Austin, TX 78445",North Austin,Single Family,2,2.0,2756,2626,0.95,419542,854,1771,21256,5.07,98,Mid-Market,High,Available,29,2010,3,Cats Only,"Balcony, AC, Dishwasher",Young Professional,12 months,All,3.6,9,5.8,90,37
ATX-073,"1315 Elm Way, Austin, TX 77083",Cedar Park,Single Family,1,1.5,2318,2381,1.03,376380,608,1772,21266,5.65,89,Mid-Market,High,Pending,5,1995,3,Dogs Only,"In-unit Laundry, Pool, Gym",Young Professional,12 months,None,12.3,10,5.9,60,58
ATX-074,"7481 Oak Ave, Austin, TX 76114",North Austin,Townhouse,2,1.0,1996,3258,1.63,584144,841,2416,28992,4.96,100,Premium,High,Pending,12,1992,1,Dogs Only,"In-unit Laundry, Pool, Gym",Student,12 months,Water/Sewer,10.4,8,4.3,89,41
ATX-075,"5501 Oak Ave, Austin, TX 77871",Downtown Austin,Luxury Condo,2,2.5,1599,5042,3.15,842695,1403,3638,43658,5.18,92,Premium,Low,Pending,56,1999,2,Yes,"Garage, Garden, Modern Appliances",Young Professional,6 months,Water/Sewer,23.1,8,7.8,84,62
